"Relative Time (Process)","DQN9 - _step","DQN9 - _step__MIN","DQN9 - _step__MAX","DQN9 - env_steps_inside_sim","DQN9 - env_steps_inside_sim__MIN","DQN9 - env_steps_inside_sim__MAX"
"15.209785452","7","7","7","1","1","1"
"15.341579435","13","13","13","2","2","2"
"15.393307544","19","19","19","3","3","3"
"15.426112929","25","25","25","4","4","4"
"15.461247733","31","31","31","5","5","5"
"15.498245934","37","37","37","6","6","6"
"15.534275798","43","43","43","7","7","7"
"15.577760909","49","49","49","8","8","8"
"15.615912622","55","55","55","9","9","9"
"15.65522742","61","61","61","10","10","10"
"15.701805127","67","67","67","11","11","11"
"17.463565492","77","77","77","12","12","12"
"17.496095895","83","83","83","13","13","13"
"17.535541488","89","89","89","14","14","14"
"17.570367052","95","95","95","15","15","15"
"17.605016074","101","101","101","16","16","16"
"17.640123107","107","107","107","17","17","17"
"17.674581642","113","113","113","18","18","18"
"17.708460591","119","119","119","19","19","19"
"17.740752164","125","125","125","20","20","20"
"17.774354649","131","131","131","21","21","21"
"17.807870657","137","137","137","22","22","22"
"19.604413413","147","147","147","23","23","23"
"19.644769707000002","153","153","153","24","24","24"
"19.685620586","159","159","159","25","25","25"
"19.72666747","165","165","165","26","26","26"
"19.768457683","171","171","171","27","27","27"
"19.810576919","177","177","177","28","28","28"
"19.845231878","183","183","183","29","29","29"
"19.878946935","189","189","189","30","30","30"
"19.922774279","195","195","195","31","31","31"
"19.962090354","201","201","201","32","32","32"
"20.004289114","207","207","207","33","33","33"
"20.056142677","213","213","213","34","34","34"
"23.267538967","230","230","230","35","35","35"
"23.322367065999998","236","236","236","36","36","36"
"23.373351134","242","242","242","37","37","37"
"23.422557707","248","248","248","38","38","38"
"23.463822421","254","254","254","39","39","39"
"23.508951086","260","260","260","40","40","40"
"23.549309043","266","266","266","41","41","41"
"23.592283653","272","272","272","42","42","42"
"23.626982703","278","278","278","43","43","43"
"23.662756207","284","284","284","44","44","44"
"25.47743046","294","294","294","45","45","45"
"25.534452529","300","300","300","46","46","46"
"25.57850221","306","306","306","47","47","47"
"25.617686067","312","312","312","48","48","48"
"25.661156261","318","318","318","49","49","49"
"25.695249488","324","324","324","50","50","50"
"25.729606656","330","330","330","51","51","51"
"25.764600913","336","336","336","52","52","52"
"25.800406237","342","342","342","53","53","53"
"25.835392291","348","348","348","54","54","54"
"25.873538413","354","354","354","55","55","55"
"25.910967978","360","360","360","56","56","56"
"27.555223767","370","370","370","57","57","57"
"27.594315387","376","376","376","58","58","58"
"27.630611831","382","382","382","59","59","59"
"27.666914973","388","388","388","60","60","60"
"27.703970559","394","394","394","61","61","61"
"27.77507181","406","406","406","63","63","63"
"27.810429808","412","412","412","64","64","64"
"27.844969206000002","418","418","418","65","65","65"
"27.878635244","424","424","424","66","66","66"
"27.91779579","430","430","430","67","67","67"
"27.956384766","436","436","436","68","68","68"
"31.295109993","453","453","453","69","69","69"
"31.326624264","459","459","459","70","70","70"
"31.359394794","465","465","465","71","71","71"
"31.394501913","471","471","471","72","72","72"
"31.430086018","477","477","477","73","73","73"
"31.469688176","483","483","483","74","74","74"
"31.512058087","489","489","489","75","75","75"
"31.547957676","495","495","495","76","76","76"
"31.584105252","501","501","501","77","77","77"
"31.623529676","507","507","507","78","78","78"
"33.252722541","517","517","517","79","79","79"
"33.28531679","523","523","523","80","80","80"
"33.318524349","529","529","529","81","81","81"
"33.353645713","535","535","535","82","82","82"
"33.387773951","541","541","541","83","83","83"
"33.426143123","547","547","547","84","84","84"
"33.469700575","553","553","553","85","85","85"
"33.512855907","559","559","559","86","86","86"
"33.551777735","565","565","565","87","87","87"
"33.59619429","571","571","571","88","88","88"
"33.676082667","583","583","583","90","90","90"
"33.715163241","589","589","589","91","91","91"
"35.440817266","599","599","599","92","92","92"
